M_UI,SE_UI,SS_UI,M_I,SE_I,SS_I,Rich,Inv_rich,Nat,Inv,N_H,I_H,Y,X
1.11,0.15,3,2.09,0.23,5,-9999,-9999,NA,Acacia longifolia,,4,40.65,-8.733333333
1.98,0.554,5,2.85,0.881,5,6,10,Eleocharis smallii,Typha x glauca,,,45.663007,-84.423323
177.3,4.867062769,3,571.1,47.97780737,3,6,10,Eleocharis smallii,Typha x glauca,,,45.663007,-84.423323
3255.8,164.868766,12,3070.4,73.36818111,12,-9999,-9999,Festuca ovina,Elaeagnus umbellata,0.45,4.572,37.69027778,-89.25388889
41.41,10.07676039,12,25.77,4.949555536,12,-9999,-9999,Festuca ovina,Elaeagnus umbellata,0.45,4.572,37.69027778,-89.25388889
1.03,0.037,40,1.37,0.04,40,3,1,Artemisia tridentata,Bromus tectorum,1.2192,0.6,41,-117.58
0.85,0.034,40,0.8,0.034,40,2,1,Artemisia tridentata,Bromus tectorum,1.2192,0.6,40.99,-117.86
127,19,5,158,19,5,-9999,-9999,Grass sp,Bromus tectorum,,0.6,39.33536,-123.800812
59.9,0.93,5,73.4,0.57,5,-9999,-9999,Grass sp,Bromus tectorum,,0.6,39.33536,-123.800812
4.333333333,0.524404424,4,4.3,0.806225775,4,-9999,-9999,Fraxinus angustifolia,Robinia pseudoacacia,25,27,40.56666667,-3.2
83.8377,5.4119,6,94.4175,7.8562,6,,,Forb spp,Aegilops triuncialis,,,38.925229,-122.412415
5.8,0.195,4,8.81,0.51,4,-9999,-9999,NA,Mikania micrantha,,,23.16666667,112.1666667
3.01,0.326598632,6,3.91,0.367423461,6,8,1,Dactylis glomerata,Solidago gigantea,1.2,2.49936,50.85,4.416667
1.48,0.065319726,6,1.8,0.220454077,6,8,1,Agrostis stolonifera,Solidago gigantea,0.2,2.49936,50.865778,4.469376
9.36,0.530722778,6,8.51,0.493980431,6,8,1,Calamagrostis epigejos,Solidago gigantea,,2.49936,50.453569,3.819122
4.4754,0.5364,6,4.4414,0.4924,6,10,6,Petasites hybridus,Fallopia japonica,0.575,2,50.79194444,4.408333333
7.0221,0.1271,6,6.0328,0.1689,6,5,1,Rubus sp,Fallopia japonica,0.5,2,50.78611111,4.4175
1.6837,0.3953,6,3.3957,0.5823,6,4,4,Urtica dioica,Fallopia japonica,1.5,2,50.57222222,4.711666667
4.3487,0.8047,6,4.0751,0.3237,6,9,1,Urtica dioica,Fallopia japonica,1.5,2,50.38694444,4.441666667
5.8121,1.0024,6,3.4437,0.9567,6,5,1,Rubus sp,Fallopia japonica,0.5,2,50.78638889,4.420833333
0.9,0.1,3,1.3,0.1,3,-9999,-9999,Pleuraphis jamesii,Bromus tectorum,,0.6,38.24878,-109.873495
238.50608,13.18856981,24,174.50514,10.27613672,24,9,1,Populus spp,Tamarix spp,,,33.79213,-106.871309
1162.385225,140.2621621,20,621.082125,97.02721989,20,9,1,Populus spp,Tamarix spp,,,33.79213,-106.871309
9.45,0.35,20,9.22,0.39,20,,,Banksia spp,Ehrharta calycina,,1.2192,-31.947447,115.781136
9.45,0.35,20,11.8,0.6,20,,,Banksia spp,Pelargonium capitatum,,,-31.947556,115.78105
9117.5,417.09872,18,9339.7,540.7245556,18,,,Festuca idahoensis,Cytisus scoparius,0.6096,2,46.91666667,-123.2666667
1.9174,0.2762,6,2.0097,0.3225,6,-9999,-9999,Grass sp,Centaurea maculosa,,0.475,45.45833333,-110.6066667
3.3862,0.2302,6,2.8806,0.4143,6,-9999,-9999,Grass sp,Centaurea maculosa,,0.475,25.39833333,-110.7033333
10.3566,2.5766,6,9.6665,1.8409,6,-9999,-9999,Grass sp,Centaurea maculosa,,0.475,46.55,-111.7616667
4.7496,0.276,6,5.0721,0.276,6,-9999,-9999,Grass sp,Centaurea maculosa,,0.475,45.595,-111.09
3.9707,0.3221,6,3.8791,0.3221,6,-9999,-9999,Grass sp,Centaurea maculosa,,0.475,45.77833333,-111.26
3.4289,0.2759,6,3.3832,0.3681,6,-9999,-9999,Grass sp,Centaurea maculosa,,0.475,45.59833333,-111.195
7.7831,0.5982,6,6.8171,0.7363,6,-9999,-9999,Grass sp,Centaurea maculosa,,0.475,45.665,-110.6916667
3.9741,0.3221,6,3.7445,0.5523,6,-9999,-9999,Grass sp,Centaurea maculosa,,0.475,45.66,-110.665
4.1157,0.368,6,3.2417,0.368,6,-9999,-9999,Grass sp,Centaurea maculosa,,0.475,45.64333333,-110.9216667
2.409,0.4317,10,11.7635,0.2879,10,-9999,-9999,Metrosideros polymorpha,Falcataria moluccana,20,,19.44805556,-154.8611111
1.1675,0.2302,10,10.3495,0.4603,10,-9999,-9999,Metrosideros polymorpha,Falcataria moluccana,20,,19.41972222,-154.9538889
8.4563,0.3453,10,11.3361,0.4892,10,-9999,-9999,Metrosideros polymorpha,Falcataria moluccana,20,,19.41972222,-154.9538889
19.51,1,10,20.94,1,10,1,1,Phragmites australis,Spartina alterniflora,1.238,1.0668,30.16666667,122.0166667
63.5591,29.9298,10,204.3874,69.5647,10,-9999,-9999,Pleuraphis jamesii,Bromus tectorum,,0.6,38.09527778,-109.8419444
171.3448,38.0182,10,321.0715,70.3742,10,-9999,-9999,Stipa spp,Bromus tectorum,,0.6,38.09527778,-109.8419444
5.2,2.169677395,4,4.833333333,1.926136028,4,-9999,-9999,Ulmus minor,Alianthis altissima,2.3,,40.56666667,-3.2
1.64,0.073484692,6,1.8,0.122474487,6,8,3,Epilobium hirsutum,Solidago gigantea,2,2.49936,50.25936,6.06888
1.91,0.081649658,6,2.45,0.130639453,6,5,4,Agrostis spp,Prunus serotina,,15.2,51.21992,4.39625
15.92,1.959591794,6,10.78,0.845073961,6,2,1,Glechoma hederacea,Heracleum mantegazzianum,0.1,5.5,50.800919,4.414715
9.42,0.493980431,6,8.47,0.816496581,6,5,1,Eupatorium cannabinum,Fallopia japonica,1,2,51.05844,5.27176
528,165,10,532,56,10,-9999,-9999,Metrosideros polymorpha,Myrica cerifera,20,12,19.733421,-155.090389
2.5,0.349461831,7,2.166666667,0.089942839,7,1,1,Taxodium distichum,Melaleuca quinquenervia,40,8,25.995081,-81.482849
16.3,1.263701197,7,11.4,0.679626053,7,1,1,Taxodium distichum,Melaleuca quinquenervia,40,8,25.995081,-81.482849
2.35643,0.49207,7,0.63412,0.11812,7,1,1,Taxodium distichum,Melaleuca quinquenervia,40,8,25.995081,-81.482849
261.9,31.6,7,587.8,42.4,7,1,1,Taxodium distichum,Melaleuca quinquenervia,40,8,25.995081,-81.482849
83.65,3.630812581,9,79.11666667,3.708341948,9,-9999,-9999,Spartina patens,Phragmites australis,0.6096,1.238,39.576619,-74.331007
3.7,0.491934955,20,5.15,0.424852916,20,,,NA,Robinia pseudoacacia,,27,41.935998,-70.044708
90.2174,17.1425,8,153.6159,21.4345,8,49,35,Hesperostipa comata,Agropyron cristatum,,0.6096,50.34546,-109.995117
207.5253,34.3365,8,382.4917,60.1148,8,49,35,Hesperostipa comata,Agropyron cristatum,,0.6096,50.34546,-109.995117
762.624,64.407,8,761.6416,81.5493,8,49,35,Hesperostipa comata,Agropyron cristatum,,0.6096,50.34546,-109.995117
259.5945,27.2809,4,319.0775,42.1629,4,-9999,-9999,Metrosideros polymorpha,Schizachyrium condensatum,20,,19.1,-155.55
53.81,3.2,14,56.2,3.06,14,9.71,8.21,NA,Solidago gigantea,,2.49936,46.78333333,6.15
,0.0673,0.0054,6,0.0991,0.0199,-9999,-9999,Artemisia californica,Bromus madritensis,1.5,0.132,32.600626,-117.127991
43.1,2.01246118,5,62.7,3.443544685,5,-9999,-9999,Setaria plicata,Ageratina adenophora,,,24.70394444,102.8801667
295.25,18.85967921,5,274.25,22.22751673,5,-9999,-9999,Poa pratensis,Bromus spp,0.8,,43.58333333,-102.6333333
438.25,49.49873736,5,535.5,58.68081032,5,-9999,-9999,Poa pratensis,Bromus spp,0.8,,43.58333333,-102.6333333
192,14.62660248,5,174,26.23213678,5,-9999,-9999,Poa pratensis,Bromus spp,0.8,,43.58333333,-102.6333333
355.25,54.87599657,5,473.75,41.56245301,5,-9999,-9999,Poa pratensis,Bromus spp,0.8,,43.58333333,-102.6333333
167.75,20.06551769,5,204.5,50.91721222,5,-9999,-9999,Poa pratensis,Bromus spp,0.8,,43.58333333,-102.6333333
380,19.14418972,5,222,16.1245155,5,-9999,-9999,Poa pratensis,Bromus spp,0.8,,43.58333333,-102.6333333
392.5,39.19502519,5,320.5,38.26878624,5,-9999,-9999,Poa pratensis,Bromus spp,0.8,,43.58333333,-102.6333333
169.5,12.3794184,5,192,12.5,5,-9999,-9999,Poa pratensis,Bromus spp,0.8,,43.58333333,-102.6333333
390,15.91383046,5,204.5,17.06604817,5,-9999,-9999,Poa pratensis,Bromus spp,0.8,,43.58333333,-102.6333333
240,21.63330765,5,421.5,44.68780594,5,-9999,-9999,Poa pratensis,Bromus spp,0.8,,43.58333333,-102.6333333
200,15.11621646,5,155.5,12.09338662,5,-9999,-9999,Poa pratensis,Bromus spp,0.8,,43.58333333,-102.6333333
159.8667,51.0204,7,286.0579,40.8121,7,-9999,-9999,Avena fatua,Cynara cardunculus,1.2192,,33.38,-117.5
3.63,0.21,10,3.36,0.091,10,-9999,-9999,Andropogon gerardii,Andropogon bladhii,0.71,,39.098744,-96.606152
3.5834,1.9668,27,4.1542,2.2772,27,29.01433,25.04595,NA,Alianthis altissima,,,42.073762,9.014282
6.1817,1.1387,12,6.6491,1.0349,12,26.59856,13.33084,NA,Alianthis altissima,,,35.209722,24.829102
10.7725,0.8799,23,12.1196,0.9317,23,15.41394,12.50652,NA,Alianthis altissima,,,39.696621,3.02948
3.4697,1.2422,19,3.7816,0.9314,19,15.36163,10.59548,NA,Alianthis altissima,,,39.943436,4.11438
2.2429,0.9834,25,2.5032,0.6211,25,9.011,9.82266,NA,Alianthis altissima,,,40.010787,9.173584
7.8712,0.9353,13,7.9361,1.0024,13,15.96071,8.857,NA,Carpobrotus spp,,,43.013308,6.363058
688.125,3.042090784,18,1381.7531,6.543217454,18,13,1,Achillea millefolium,Solidago gigantea,0.45,2.49936,50.859927,4.464912
246,35.35533906,8,180,9.192388155,8,1,1,Propsopis juliflora,Kalanchoe daigremontiana,,,10.12,-69.7
550.2045,265.7428,5,115.03705,112.2513,5,10.2829,5.8778,Bouteloua gracialis,Agropyron cristatum,,0.6096,49.36666667,-107.8833333
317.9285,89.20162,3,953.50408,95.16836,3,1,1,Phragmites australis,Spartina alterniflora,1.238,1.0668,31.15,122
345,121,4,866,167,4,1,1,Sagittaria latifolia,Phragmites australis,1.49352,1.238,41.61666667,-83.23333333
33.71,1.93,24,12.88,12.88,24,5.56,4.08,Festuca campestris,Centaurea stoebe,0.4572,1.2,50.75579,-120.465775
0.172,0.073087885,108,0.146477778,0.077041395,108,1,1,Phragmites australis,Spartina alterniflora,1.238,1.0668,30.16666667,122.0166667
0.49815,0.136045456,20,0.902175,0.144491569,20,1,1,Phragmites australis,Spartina alterniflora,1.238,1.0668,31.41666667,121.8333333
6.4,0.5,9,6,0.5,9,-9999,-9999,Macropiper excelsum,Tradescantia fluminensis,0.4,,-40.8,175.19
8.5,0.6,9,7.7,0.6,9,-9999,-9999,Alectryon excelsus,Tradescantia fluminensis,15,,-40.1,175.46
2.72,0.04,4,3.12,0.02,4,8,1,Paspulum conjugatum,Lantana camara,,4.4,23.66631667,113.1498667
24.6,1.4,20,23.8,2.4,20,1,1,Sagittaria latifolia,Phragmites australis,1.49352,1.238,41.61666667,-83.23333333
6.625,0.690762461,3,5.325,0.058797686,3,22,1,Carex lurida,Phalaris arundinacea,1,1.469,39.279773,-86.573124
0.44,0.013,40,0.48,0.022,40,3,3,Atriplex confertifolia,Bromus tectorum,0.9144,0.6,40.57,-118.34
2.09,0.1,9,2.28,0.09,9,5,6,Molinia caerulea,Solidago gigantea,1.2,2.49936,47.4,8.5
19.5,0.3,5,16.8,0.2,5,11.42,11.08,NA,Cytisus scoparius,,2,48.325,-122.4583333
3.453883333,0.313166478,6,4.948516667,0.34459668,6,1,1,Scirpus mariqueter,Spartina alterniflora,,1.0668,31.15,122
0.3222,0.0598,3,0.6919,0.1972,3,-9999,-9999,Quercus alba,Rhamnus cathartica,45,8,42.143742,-88.042717
6.2542,0.9153,10,4.4407,0.9322,10,28.1718,18.04786,NA,Oxalis pes-caprae,,0.2,35.209722,24.829102
0.92,0.14,6,2.47,0.69,6,-9999,-9999,NA,Acacia saligna,,,-33.51666667,18.53333333
7.13,0.23,24,5.05,0.31,24,5.56,4.08,Festuca campestris,Centaurea stoebe,0.4572,1.2,50.75579,-120.465775
2.1788,0.1911,5,1.5777,0.1367,5,10.2829,5.8778,Bouteloua gracialis,Agropyron cristatum,,0.6096,49.36666667,-107.8833333
2.5,0.070710678,8,2.9,0.106066017,8,1,1,Propsopis juliflora,Kalanchoe daigremontiana,,,10.12,-69.7
1.6,0.106066017,8,2,0.070710678,8,7,1,Opuntia caracassana,Stapelia gigantea,,,10.12,-69.7
13.0434,2.4657,3,14.018,2.0961,3,-9999,-9999,Quercus alba,Rhamnus cathartica,45,8,42.149755,-87.780998
4.5438,0.72,3,8.8961,2.1598,3,-9999,-9999,Quercus alba,Rhamnus cathartica,45,8,41.81457,-88.055935
3.4485,1.2236,15,6.0545,0.5122,15,-9999,-9999,Quercus alba,Rhamnus cathartica,45,8,42.149755,-87.780998
22.21,3.2,6,17.24,3.56,6,-9999,-9999,Acer rubrum,Microstegium vimineum,35,,33.88783333,-88.6345
1.07,0.15,6,2.29,0.32,6,-9999,-9999,NA,Acacia cyclops,,3.6576,-33.75,18.45
40.605,3.5778,5,35.4948,3.5778,5,3,1,Poa cita,Pilosella officinarum,0.5,0.1,-44.649116,170.403442
2.30925,1.790407502,15,2.29875,1.385874751,15,15,11.5,NA,Mimulus guttatus,,0.762,57.13333333,-2.633333333
19.3405,1.6993,5,20.8492,1.6993,5,3,1,Poa cita,Pilosella officinarum,0.5,0.1,-44.649116,170.403442
4,0.4576,12,3.9661,0.3729,12,27.80175,25.35003,NA,Oxalis pes-caprae,,0.2,39.943436,4.11438
6.1172,1.6034,14,5.1802,0.9355,14,23.30315,10.2134,NA,Carpobrotus spp,,,35.209722,24.829102
1.74375,1.457135351,15,2.138,1.367445627,15,15,11.5,NA,Mimulus guttatus,,0.762,57.13333333,-2.633333333
1.4,0.28,12,1.1,0.29,12,-9999,-9999,NA,Lupinus luteus,,0.6096,-33.497101,18.589897
0.8,0.02,12,2.5,0.34,12,-9999,-9999,NA,Acacia saligna,,,-33.497101,18.589897
2.7206,0.735,21,6.1268,0.9355,21,4.54484,5.31819,NA,Carpobrotus spp,,,43.011677,6.223068
0.7109,0.1336,30,0.8426,0.1335,30,16.83404,9.73009,NA,Carpobrotus spp,,,40.010787,9.173584
1.7966,0.2542,30,1.7119,0.2034,30,12.28997,11.83949,NA,Oxalis pes-caprae,,0.2,40.010787,9.173584
6.3559,0.5933,30,6.3898,0.5763,30,22.33423,12.54448,NA,Oxalis pes-caprae,,0.2,39.258841,26.27655
3.8008,0.6013,24,4.8683,0.5347,24,15.8515,9.96323,NA,Carpobrotus spp,,,39.943436,4.11438
6.322,0.9153,24,6.7966,0.7119,24,10.97393,9.85657,NA,Oxalis pes-caprae,,0.2,43.011677,6.223068
10.5549,0.4008,25,12.1566,0.2674,25,13.6846,7.14162,NA,Carpobrotus spp,,,39.696621,3.02948
3.7288,0.4237,22,3.6271,0.2882,22,19.59155,19.80914,NA,Oxalis pes-caprae,,0.2,39.696621,3.02948
0.193,0.041012193,18,0.288,0.056568542,18,-9999,-9999,Prosopis cineraria,Prosopis juliflora,,,27.5,76
10.4,0.3,3,10.4,0.6,3,11.9,112.53,NA,Cytisus scoparius,,2,48.57933333,-123.5216667
